first_name,last_name,department,job_title,email
Michael,Scott,Education,Regional Manager,kumar1982.anil@gmail.com
Dwight,Schrute,Sales,Assistant to the Regional Manager,kumar1982.anil@gmail.com
Jim,Halpert,Sales,Sales Representative,kumar1982.anil@gmail.com
Pam,Beesly,Reception,Receptionist,kumar1982.anil@gmail.com
Ryan,Howard,Temps,Temp,kumar1982.anil@gmail.com
Andy,Bernard,Sales,Sales Representative,kumar1982.anil@gmail.com
Robert,California,Corporate,CEO,kumar1982.anil@gmail.com
Stanley,Hudson,Sales,Sales Representative,kumar1982.anil@gmail.com
Kevin,Malone,Accounting,Accountant,kumar1982.anil@gmail.com
Angela,Martin,Accounting,Accountant,kumar1982.anil@gmail.com
Oscar,Martinez,Accounting,Accountant,kumar1982.anil@gmail.com
Phyllis,Vance,Sales,Sales Representative,kumar1982.anil@gmail.com
Toby,Flenderson,HR,HR Representative,kumar1982.anil@gmail.com
Kelly,Kapoor,Customer Service,Customer Service Representative,kumar1982.anil@gmail.com
Darryl,Philbin,Warehouse,Warehouse Foreman,kumar1982.anil@gmail.com
Creed,Bratton,Quality Assurance,Quality Assurance,kumar1982.anil@gmail.com
Meredith,Palmer,Supplier Relations,Supplier Relations,kumar1982.anil@gmail.com
Erin,Hannon,Reception,Receptionist,kumar1982.anil@gmail.com
Gabe,Lewis,Corporate,Coordinating Director of Emerging Regions,kumar1982.anil@gmail.com
Jan,Levinson,Corporate,Vice President of Northeast Sales,kumar1982.anil@gmail.com
David,Wallace,Corporate,CFO,kumar1982.anil@gmail.com
Holly,Flax,HR,HR Representative,kumar1982.anil@gmail.com
Charles,Miner,Corporate,Vice President of the Northeast Region,kumar1982.anil@gmail.com
Jo,Bennett,Corporate,CEO of Sabre,kumar1982.anil@gmail.com
Clark,Green,Sales,Sales Representative,kumar1982.anil@gmail.com
Pete,Miller,Customer Service,Customer Service Representative,kumar1982.anil@gmail.com
